,retail_name,retail_state,snap,wic,alcohol,pharmacy,any_tob_sld,str_typ,year,can_surveyD,storelistmatch,c_any_str_typ,c_any_tob_sld,retail_st_geo,str_typ1,Convenience store with or without gas,Drug store or pharmacy ,"Beer, wine, liquor store",Mass merchandiser,Grocery store ,Other store type not listed,Tobacco Hookah ECig
13032,family dollar stores of ohio inc,OH,,,,0.0,,Grocery store ,2016.0,1.0,1,1,1.0,Ohio,Grocery,0.012117947922590022,0.021386595040859553,0.006776060311002514,0.07573708954727404,0.01935865890231799,0.01117513082575179,0.011160555268371064
13033,fire house food llc,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Ohio,Convenience,0.009393457231250532,0.006654172105245988,0.006506673481398228,0.007089544097420516,0.00810309094146313,0.010496503424363295,0.01104706619375528
13034,flannagans pub,OH,,,,0.0,,Other store type not listed,2016.0,1.0,1,1,,Ohio,Other,0.0014652856632902363,0.0,0.010576747093510369,0.0,0.0,0.020504715263436998,0.0
13035,giant eagle,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.013228351046105494,0.007855621094376439,0.0062333011325177165,0.005817108004052833,0.03825142471864539,0.006906152574688449,0.0
13036,giant eagle,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.013228351046105494,0.007855621094376439,0.0062333011325177165,0.005817108004052833,0.03825142471864539,0.006906152574688449,0.0
13037,giant eagle/get go,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.012440534632313678,0.0039278105471882195,0.002907668367541711,0.0,0.02256787369192895,0.0,0.0
13038,giant eagle/get go,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.012440534632313678,0.0039278105471882195,0.002907668367541711,0.0,0.02256787369192895,0.0,0.0
13039,giant eagle/get go,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.012440534632313678,0.0039278105471882195,0.002907668367541711,0.0,0.02256787369192895,0.0,0.0
13040,giant eagle/get go,OH,,,,1.0,,Grocery store ,2016.0,1.0,0,1,,Ohio,Grocery,0.012440534632313678,0.0039278105471882195,0.002907668367541711,0.0,0.02256787369192895,0.0,0.0
13041,giant eagle/getgo attn tax dept,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,1.0,Ohio,Grocery,0.007500129853415992,0.0019639052735941098,0.0,0.005736598474180181,0.024717016537971707,0.0,0.0
13042,giant eagle/getgo attn tax dept,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,1.0,Ohio,Grocery,0.007500129853415992,0.0019639052735941098,0.0,0.005736598474180181,0.024717016537971707,0.0,0.0
13043,giant eagle/getgo attn tax dept,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Ohio,Convenience,0.007500129853415992,0.0019639052735941098,0.0,0.005736598474180181,0.024717016537971707,0.0,0.0
13044,giant eagle/getgo attn tax dept,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,1.0,Ohio,Grocery,0.007500129853415992,0.0019639052735941098,0.0,0.005736598474180181,0.024717016537971707,0.0,0.0
13045,hank  partners llc,OH,,,,0.0,,Convenience store with or without gas,2016.0,0.0,0,1,,Ohio,Convenience,0.008559666707898551,0.006053447610680762,0.006111359747641441,0.005894072182583616,0.004536160683357534,0.008278269175689437,0.0073385521084879226
13046,hatlestad company,OH,,,,0.0,,Other store type not listed,2016.0,1.0,0,1,,Ohio,Other,0.004549389617163105,0.011037013651125608,0.006000203281063258,0.0,0.005378817766549298,0.015286881233602721,0.005711641342702832
13047,infinity 99 and beauty supply,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Ohio,Convenience,0.012878897754804402,0.0019639052735941098,0.002805786913174599,0.001912199491393394,0.003387022770206014,0.009152802527435553,0.004066505055225573
13048,infinity 99 and beauty supply,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Ohio,Convenience,0.012878897754804402,0.0019639052735941098,0.002805786913174599,0.001912199491393394,0.003387022770206014,0.009152802527435553,0.004066505055225573
13049,infinity 99 and beauty supply,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Ohio,Convenience,0.012878897754804402,0.0019639052735941098,0.002805786913174599,0.001912199491393394,0.003387022770206014,0.009152802527435553,0.004066505055225573
13050,kimberly parkway,OH,,,,0.0,,"Beer, wine, liquor store",2016.0,1.0,0,1,1.0,Ohio,"Beer,",0.006553482449939522,0.0,0.012293554599122902,0.0,0.0,0.003082497511010865,0.0
13051,kroger,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.012968126539152927,0.0,0.0,0.019922238712364215,0.04185771486776705,0.0,0.013124184473967826
13052,kroger,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.012968126539152927,0.0,0.0,0.019922238712364215,0.04185771486776705,0.0,0.013124184473967826
13053,la michoacana mexican market,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,0,1,,Ohio,Convenience,0.008120056787403566,0.0032456132880951953,0.0034626619575252454,0.004436052934158779,0.012957066137544888,0.007191751029907305,0.004762547171218313
13054,lockbourne mobil,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Ohio,Convenience,0.014915594029930307,0.007855621094376439,0.0,0.0,0.0,0.006468967156396263,0.0
13055,lockbourne mobil,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Ohio,Convenience,0.014915594029930307,0.007855621094376439,0.0,0.0,0.0,0.006468967156396263,0.0
13056,mac a doos inc,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.010780396177571537,0.00926941233934274,0.007069302944274737,0.008521340989999016,0.008405523861496138,0.004622012992316385,0.0064985322694455505
